,Country Name,Country codes,Mortality,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Cases_Per_Million,New_Cases_Per_Million,Total_Deaths_Per_Million,New_Deaths_Per_Million,New_Deaths_Smoothed_Per_Million,Total_Tests,New_Tests,Total_Tests_Per_Thousand,New_Tests_Per_Thousand,Tests_Per_Case,Positive_rate,Age(0-14),Age(14-64),Age(65+),Age(80 +),Basic water facility,Saf. managed water,Basic sanity,Safely Managed Sanity),"mortality(cancer,cvd)",Deaths by non-communicable dis % ,life exp(2018),Current Health Expenditure(%),Current Health Expenditure per capita(usa),Current Health Expenditure per capita(international),Physicians/1000 people,Nurses and midwives/1000 people,Diabetes Prevalence %,Mortality rates female/1000 female adults,Mortality rates male/1000 male adults,DGovtGHE (% of current health expenditure),DGGHE(% of GDP),DGGHE (% of general government expenditure),DGGHE per capita(current US $),"DGGHE per capita, PPP (current international $)",DPvtHE (% of current health expenditure),DPvtHE per capita (current US$),"DPvtHE per capita, PPP  (current international $)",OPE(% of current health expenditure),OPE per capita (current US$),"OPE per capita, PPP (current international $)",total % labor unemp,Hospital_Beds_Per_Thousand,Cardiovasc_Death_Rate,Diabetes_Prevalence,Female_smokers,Male_smokers,Human_Dev_index
85,Singapore,SGP,0.000481431,58160.0,12.0,28.0,0.0,9941.0,2.05,4.79,0.0,0.0,3486260.0,60416.1868,595.9069999999999,4.785,5599.2,0.0,12.33150315,75.27536737,12.44790955,2.271261298,100.0,100.0,100.0,100.0,9.3,73.6,83.14634146,4.684919119,101.2398682,4269.958008,2.450374213,6.2432,5.5,34.939,59.839,48.2,2.14,12.57,1262.33,2058.31,51.8,1356.38,2211.65,32.13,841.27,1371.73,4.267000198,2.4,92.243,10.99,5.2,40.2,0.932
86,Slovakia,SVK,0.006972081,96241.0,984.0,671.0,27.0,17628.0,180.23,122.9,4.95,4.21,664544.0,13369.0,121.719,1.839,6.218,0.161,15.52774384,68.29989227,16.09411179,3.2419533489999997,99.78773411,99.78773411,97.93813039,82.51972016,17.2,89.2,77.26585366,8.18701759,1920.28186,2184.2028809999997,3.4156,8.973589257,6.5,113.9662371,175.51792930000002,79.1,5.33,13.27,938.28,1727.78,20.89,247.84,456.38,18.71,221.96,408.73,4.622000217,3.2853125,231.2772381,7.456509434,11.88105263,32.77777778,0.759207547
87,Slovenia,SVN,0.010151896,65308.0,1024.0,663.0,6.0,31414.0,492.56,318.91,2.89,10.45,305875.0,6215.0,147.131,2.311,6.414,0.156,15.10564048,64.70807551,20.17381055,5.4053947,99.53502551,98.05297254,99.10956793,83.04132297,12.7,88.4,81.37804878,11.01874635,5904.583984000001,2960.5932620000003,3.0861,9.9745,5.9,113.9662371,175.51792930000002,71.82,5.88,13.62,1378.96,2126.01,28.21,541.66,835.1,12.33,236.74,364.99,3.687999964,4.5,153.493,7.25,20.1,28.3,0.896
88,South Africa,ZAF,0.027228829,767679.0,2270.0,20903.0,58.0,12944.0,38.27,352.44,0.98,1.6,4633671.0,25788.0,78.128,0.36700000000000005,12.752,0.078,28.96832505,65.61641934,5.40002857,0.718171893,92.67870194,81.44728375,75.7470984,74.17553068,26.2,51.3,63.857,4.47034128,67.64866638,1097.819214,0.9054,1.3078,12.7,248.81599999999997,376.404,53.65,4.35,13.34,267.85,588.99,44.39,221.61,487.31,7.77,38.78,85.27,26.53199959,2.32,200.38,5.52,8.1,37.7,0.699
89,South Korea,KOR,0.016417236,31004.0,271.0,509.0,4.0,605.0,5.29,9.93,0.08,0.04,2508191.0,12679.0,48.922,0.184,99.73200000000001,0.01,12.74644361,72.19337949,15.063260199999998,3.4175260360000004,99.787655,98.21386113,100.0,99.90430877,7.8,79.8,82.62682927,5.291384831,1529.0776369999999,2980.157959,2.3608,7.1203,6.9,32.342,79.266,57.38,4.36,13.42,1309.97,1709.94,42.62,973.11,1270.22,33.67,768.69,1003.39,4.836999893,12.27,85.99799999999999,6.8,6.2,25,0.903
90,Spain,ESP,0.027377258999999998,1556730.0,0.0,42619.0,0.0,33296.0,0.0,911.54,0.0,5.65,11912624.0,64997.0,254.78900000000002,2.09,9.065,0.11,14.57687197,65.77530508,19.60943426,6.181721446,99.92627831,98.44148919999999,99.90423089,96.62017615,9.9,91.4,83.43170732,6.4293578270000005,1300.481689,3468.692139,3.8723,5.7295,6.9,113.9662371,175.51792930000002,70.62,6.27,15.28,1769.97,2449.46,29.38,736.49,1019.23,23.57,590.67,817.42,10.82699966,3.2853125,231.2772381,7.456509434,11.88105263,32.77777778,0.759207547
91,Sri Lanka,LKA,0.004313123,20171.0,400.0,87.0,4.0,942.0,18.68,4.06,0.19,0.19,423332.0,8089.0,19.77,0.38299999999999995,71.126,0.013999999999999999,23.95646203,65.20473221,10.79010826,1.630901945,89.41629243,81.44728375,95.78172636,74.17553068,17.4,82.8,76.812,4.045105218,80.50091774,503.5632629,0.9277,1.9966,10.7,56.065,151.16,42.95,1.64,8.47,68.5,216.28,55.71,88.85,280.53,49.76,79.36,250.56,2.8699998860000004,3.6,197.093,10.68,0.3,40.9,0.77
92,Sweden,SWE,0.030754458999999998,208295.0,6243.0,6406.0,6.0,20625.0,618.16,634.3,0.59,1.66,7273142.789,21564.0,172.33215769999998,2.135,27.625999999999998,0.036000000000000004,17.62549023,62.17594015,20.20079681,5.2036909289999995,100.00000250000001,99.94000246,99.29552038,93.37938042,9.1,89.9,82.55853659,6.930378079,224.73677059999997,5699.606934,2.450374213,11.8164,4.8,38.431,62.062,83.69,9.22,18.69,4941.84,4770.28,16.31,962.75,929.33,15.03,887.61,856.8,7.06099987,2.22,133.982,4.79,18.8,32.77777778,0.933
93,Switzerland,CHE,0.012321967,289483.0,0.0,3567.0,0.0,33448.0,0.0,412.15,0.0,10.09,1701377.0,16224.0,196.58599999999998,2.25,6.667000000000001,0.15,14.940675899999999,66.22132804,18.82414919,5.212551008,100.00000290000001,95.45540815,99.89037352,99.53931048,8.6,89.6,83.75365854,7.8288040379999995,1225.437532,8216.958008,4.2957,17.5357,5.7,113.9662371,175.51792930000002,30.49,3.76,11.02,3035.95,2505.58,69.51,6920.31,5711.37,28.95,2882.04,2378.56,4.737999916000001,4.53,99.73899999999999,5.59,22.6,42.9,0.944
94,Thailand,THA,0.015333504,3913.0,0.0,60.0,0.0,56.0,0.0,0.86,0.0,0.0,1090380.0,5688.0,15.620999999999999,0.057999999999999996,539.132,0.002,16.82353621,70.77021345,12.3735772,2.640111699,99.93071158,81.44728375,98.75073461,74.17553068,14.5,74.0,76.931,7.228814811,57.89985275,670.8770752,0.8075,2.9573,7.0,77.992,186.85299999999998,76.13,2.85,15.03,188.06,510.72,23.64,58.41,158.61,11.15,27.54,74.78,0.813000023,2.1,109.861,7.04,1.9,32.77777778,0.755
